epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.59543,2.42725,4.29271,1.37826,0,0,0,0,2.13174,4.06899,1.18264,1.429e-05,1.429e-05,1.429e-05
2,3.5584,2.45762,4.27592,1.35172,0,0,0,0,2.12027,4.07265,1.17968,4.24456e-05,4.24456e-05,4.24456e-05
3,4.3775,2.60177,4.26568,1.37881,0,0,0,0,1.90679,3.97134,1.07634,7.00353e-05,7.00353e-05,7.00353e-05
4,5.30367,2.14918,4.1339,1.19533,0.00091,0.01075,0.00047,0.00012,2.0924,3.93443,1.07792,9.70591e-05,9.70591e-05,9.70591e-05
5,6.22025,1.79959,3.90112,1.08385,0.00681,0.26989,0.00696,0.00159,1.77445,3.89976,1.00119,0.000123517,0.000123517,0.000123517
6,7.23736,1.70108,3.6245,1.05282,0.00358,0.09839,0.00337,0.00053,1.59635,3.90202,1.00437,0.000149409,0.000149409,0.000149409
7,8.16255,1.722,3.38251,1.02313,0.00296,0.13226,0.0032,0.00047,1.60673,3.87903,0.99328,0.000174735,0.000174735,0.000174735
8,9.07577,1.67148,3.12105,1.00117,0.00105,0.01613,0.00184,0.00028,1.68319,3.84815,0.99951,0.000199496,0.000199496,0.000199496
9,9.94989,1.6848,2.98533,0.98381,0,0,0,0,1.71083,3.83017,1.01568,0.00022369,0.00022369,0.00022369
10,10.8395,1.67206,2.77193,1.01414,0,0,0,0,1.66958,3.79024,1.03151,0.000247318,0.000247318,0.000247318
11,11.7297,1.56377,2.52891,0.98991,0.00243,0.03763,0.01336,0.00152,1.69812,3.759,1.04216,0.000270381,0.000270381,0.000270381
12,12.6043,1.57065,2.48684,0.98386,0.00437,0.15376,0.01428,0.00272,1.71745,3.72448,1.03436,0.000292878,0.000292878,0.000292878
13,13.4912,1.5608,2.28581,0.98792,0.00366,0.14301,0.00635,0.00154,1.70024,3.70932,1.02868,0.000314809,0.000314809,0.000314809
14,14.4766,1.63203,2.20265,0.99598,0.00301,0.13226,0.00943,0.00347,1.67846,3.67866,1.00566,0.000336174,0.000336174,0.000336174
15,15.3472,1.63567,2.05769,0.98757,0.00302,0.08763,0.00876,0.00228,1.5896,3.61896,0.97907,0.000356973,0.000356973,0.000356973
16,16.2114,1.606,1.99222,0.97798,0.00982,0.26828,0.10003,0.03344,1.55911,3.56613,0.96746,0.000377206,0.000377206,0.000377206
17,17.0882,1.62853,1.79149,0.98784,0.01268,0.30054,0.08499,0.0257,1.54283,3.53172,0.95522,0.000396873,0.000396873,0.000396873
18,17.9655,1.61323,1.73289,0.99843,0.01661,0.3043,0.09218,0.02954,1.52708,3.49992,0.95175,0.000415975,0.000415975,0.000415975
19,18.8399,1.57663,1.64715,0.97195,0.01673,0.29892,0.09519,0.02763,1.5141,3.48856,0.95055,0.00043451,0.00043451,0.00043451
20,19.7088,1.40611,1.51436,0.96153,0.02236,0.36882,0.12196,0.03679,1.49149,3.45691,0.95723,0.00045248,0.00045248,0.00045248
21,20.5923,1.49636,1.47525,0.9801,0.02212,0.36882,0.14175,0.04441,1.49437,3.42683,0.95687,0.000469884,0.000469884,0.000469884
22,21.6899,1.67052,1.52236,1.00068,0.02433,0.39032,0.17705,0.05779,1.51341,3.42231,0.97786,0.000486722,0.000486722,0.000486722
23,22.5701,1.66169,1.42108,0.97511,0.02521,0.39032,0.18973,0.06382,1.4811,3.441,0.97471,0.000502994,0.000502994,0.000502994
24,23.4286,1.60577,1.40471,0.9583,0.02667,0.40645,0.17163,0.07063,1.53871,3.42632,0.95356,0.0005187,0.0005187,0.0005187
25,24.3086,1.68706,1.36821,0.99045,0.02773,0.37796,0.18504,0.07763,1.55042,3.4003,0.9535,0.00053384,0.00053384,0.00053384
26,25.2036,1.5771,1.31188,0.94336,0.02578,0.36183,0.21216,0.08812,1.50023,3.36109,0.95666,0.000548414,0.000548414,0.000548414
27,26.1012,1.50944,1.33281,0.95586,0.02672,0.42796,0.24673,0.10626,1.50118,3.26406,0.97299,0.000562423,0.000562423,0.000562423
28,26.9692,1.4645,1.31412,0.98932,0.02672,0.42796,0.24673,0.10626,1.50118,3.26406,0.97299,0.000575866,0.000575866,0.000575866
29,27.8431,1.48957,1.24453,0.97631,0.02828,0.51022,0.30629,0.13813,1.47312,3.14937,0.97486,0.000588742,0.000588742,0.000588742
30,28.7272,1.62536,1.31713,0.99033,0.0307,0.6086,0.33667,0.15229,1.4427,3.08797,0.95933,0.000601053,0.000601053,0.000601053
31,29.6633,1.4671,1.19554,0.98634,0.0307,0.6086,0.33667,0.15229,1.4427,3.08797,0.95933,0.000612798,0.000612798,0.000612798
32,30.5369,1.40241,1.18762,0.95664,0.03132,0.63548,0.41787,0.18003,1.46648,2.97238,0.95873,0.000623977,0.000623977,0.000623977
33,31.3988,1.41841,1.16803,0.94801,0.0352,0.87312,0.46569,0.21883,1.44467,2.82887,0.96449,0.00063459,0.00063459,0.00063459
34,32.2721,1.51195,1.25078,0.96522,0.0352,0.87312,0.46569,0.21883,1.44467,2.82887,0.96449,0.000644638,0.000644638,0.000644638
35,33.1405,1.333,1.08481,0.94191,0.03453,0.94624,0.51894,0.25237,1.44629,2.70383,0.98714,0.000654119,0.000654119,0.000654119
36,34.0123,1.45317,1.15426,0.96487,0.03641,0.96237,0.60008,0.28437,1.46922,2.58386,0.99589,0.000663035,0.000663035,0.000663035
37,34.8483,1.28169,1.12314,0.96107,0.03641,0.96237,0.60008,0.28437,1.46922,2.58386,0.99589,0.000671384,0.000671384,0.000671384
38,35.696,1.36668,1.15523,0.95459,0.0375,0.95699,0.63948,0.31574,1.47427,2.44794,1.00038,0.000679168,0.000679168,0.000679168
39,36.6639,1.40003,1.12128,0.94228,0.03959,0.97312,0.69442,0.31852,1.44806,2.34022,0.97229,0.000686386,0.000686386,0.000686386
40,37.5202,1.47258,1.10878,0.92767,0.03959,0.97312,0.69442,0.31852,1.44806,2.34022,0.97229,0.000693038,0.000693038,0.000693038
41,38.4761,1.43973,1.11249,0.92297,0.51707,0.76237,0.72934,0.33903,1.42479,2.27555,0.96234,0.000699124,0.000699124,0.000699124
42,39.3404,1.3458,1.06821,0.93784,0.91323,0.52711,0.75457,0.37952,1.41916,2.14903,0.97822,0.000704644,0.000704644,0.000704644
43,40.2056,1.34589,1.08034,0.93002,0.91323,0.52711,0.75457,0.37952,1.41916,2.14903,0.97822,0.000709599,0.000709599,0.000709599
44,41.1407,1.35079,1.10803,0.91145,0.93973,0.31381,0.76515,0.39569,1.4271,1.99622,1.00262,0.000713987,0.000713987,0.000713987
45,42.0007,1.34643,1.03187,0.93636,0.93973,0.31381,0.76515,0.39569,1.4271,1.99622,1.00262,0.00071781,0.00071781,0.00071781
46,42.8812,1.22443,0.98397,0.93035,0.93606,0.33001,0.73407,0.37881,1.4302,1.84728,1.0102,0.000721066,0.000721066,0.000721066
47,43.7184,1.35119,1.06239,0.93009,0.93606,0.33001,0.73407,0.37881,1.4302,1.84728,1.0102,0.000723757,0.000723757,0.000723757
48,44.7433,1.32795,1.04563,0.93423,0.93962,0.44765,0.82416,0.42883,1.41679,1.70246,0.99538,0.000725882,0.000725882,0.000725882
49,45.6077,1.26671,0.96582,0.9395,0.93962,0.44765,0.82416,0.42883,1.41679,1.70246,0.99538,0.000727441,0.000727441,0.000727441
50,46.4801,1.30308,0.97033,0.93599,0.93471,0.50228,0.84281,0.45085,1.43588,1.56444,0.98766,0.000728434,0.000728434,0.000728434
51,47.3379,1.40557,1.03473,0.94326,0.93471,0.50228,0.84281,0.45085,1.43588,1.56444,0.98766,0.000721645,0.000721645,0.000721645
52,48.2187,1.46074,1.02381,0.95931,0.92619,0.55,0.86677,0.45192,1.41766,1.43669,0.9844,0.000707498,0.000707498,0.000707498
53,49.0632,1.29145,0.9622,0.94233,0.92619,0.55,0.86677,0.45192,1.41766,1.43669,0.9844,0.000693351,0.000693351,0.000693351
54,49.925,1.27291,0.94322,0.91758,0.9019,0.66958,0.88458,0.4625,1.36666,1.27202,0.98425,0.000679204,0.000679204,0.000679204
55,50.7755,1.20691,0.90757,0.90694,0.9019,0.66958,0.88458,0.4625,1.36666,1.27202,0.98425,0.000665057,0.000665057,0.000665057
56,51.6447,1.37311,0.99271,0.93108,0.90906,0.80207,0.91166,0.47684,1.39254,1.20018,0.99182,0.000650909,0.000650909,0.000650909
57,52.6088,1.24018,0.92058,0.91836,0.90906,0.80207,0.91166,0.47684,1.39254,1.20018,0.99182,0.000636762,0.000636762,0.000636762
58,53.4899,1.27196,0.90336,0.92853,0.916,0.86936,0.93344,0.50425,1.41505,1.18048,0.9816,0.000622615,0.000622615,0.000622615
59,54.3543,1.28911,0.94215,0.92318,0.916,0.86936,0.93344,0.50425,1.41505,1.18048,0.9816,0.000608468,0.000608468,0.000608468
60,55.2435,1.24964,0.91655,0.91598,0.91576,0.91246,0.94148,0.50235,1.47764,1.20118,0.97254,0.000594321,0.000594321,0.000594321
61,56.1044,1.24155,0.88936,0.909,0.91576,0.91246,0.94148,0.50235,1.47764,1.20118,0.97254,0.000580174,0.000580174,0.000580174
62,56.9779,1.22578,0.90727,0.91785,0.90464,0.89818,0.93727,0.5168,1.41187,1.18259,0.95343,0.000566027,0.000566027,0.000566027
63,57.8119,1.2896,0.93812,0.92197,0.90464,0.89818,0.93727,0.5168,1.41187,1.18259,0.95343,0.00055188,0.00055188,0.00055188
64,58.7517,1.30561,0.93622,0.91372,0.90301,0.88953,0.94708,0.50068,1.42248,1.13544,0.95775,0.000537733,0.000537733,0.000537733
65,59.6786,1.25931,0.9097,0.92583,0.90301,0.88953,0.94708,0.50068,1.42248,1.13544,0.95775,0.000523586,0.000523586,0.000523586
66,60.5475,1.25014,0.91601,0.91488,0.87553,0.88535,0.94589,0.50333,1.44111,1.09048,0.96761,0.000509438,0.000509438,0.000509438
67,61.3885,1.21974,0.90174,0.93238,0.87553,0.88535,0.94589,0.50333,1.44111,1.09048,0.96761,0.000495291,0.000495291,0.000495291
68,62.2387,1.2107,0.90899,0.93097,0.90789,0.94252,0.96789,0.51369,1.38781,1.02947,0.96407,0.000481144,0.000481144,0.000481144
69,63.0893,1.18905,0.8468,0.93114,0.90789,0.94252,0.96789,0.51369,1.38781,1.02947,0.96407,0.000466997,0.000466997,0.000466997
70,63.9755,1.1365,0.83999,0.91042,0.89433,0.9444,0.96719,0.52157,1.33994,0.99528,0.95235,0.00045285,0.00045285,0.00045285
71,64.8268,1.24452,0.88563,0.90016,0.89433,0.9444,0.96719,0.52157,1.33994,0.99528,0.95235,0.000438703,0.000438703,0.000438703
72,65.7072,1.10106,0.79998,0.90814,0.8591,0.90826,0.94956,0.51657,1.40709,1.01154,0.95607,0.000424556,0.000424556,0.000424556
73,66.6698,1.2329,0.90055,0.89487,0.8591,0.90826,0.94956,0.51657,1.40709,1.01154,0.95607,0.000410409,0.000410409,0.000410409
74,67.5265,1.23151,0.87528,0.88532,0.822,0.90494,0.94023,0.5017,1.53342,1.03629,0.9694,0.000396262,0.000396262,0.000396262
